epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,10185.3,0.697,1.09876,0.4572,1.01023,0.69794,0.76965,0.72772,0.44755,0.70436,0.7577,0.72129,0.40675,1.47083,2.60332,0.90731,1.87116,0.000736438,0.000736438,0.000736438
85,10297.8,0.67777,1.09009,0.43295,0.99772,0.70669,0.72049,0.70526,0.43352,0.70346,0.71711,0.69706,0.39798,1.36654,2.37902,0.92037,1.73278,0.00073025,0.00073025,0.00073025
86,10410.2,0.67423,1.07575,0.43079,0.99379,0.71537,0.73282,0.72602,0.43412,0.71578,0.73341,0.71771,0.40961,1.38926,2.53954,0.91949,1.76371,0.000724062,0.000724062,0.000724062
87,10522.4,0.68409,1.10571,0.43522,1.00524,0.75366,0.70485,0.72886,0.43087,0.75016,0.70147,0.72035,0.3925,1.4516,2.5214,0.97918,1.87443,0.000717875,0.000717875,0.000717875
88,10634.6,0.67393,1.08172,0.4212,0.98966,0.72228,0.73608,0.70298,0.42006,0.72185,0.73667,0.69531,0.3837,1.44557,2.6628,0.95785,1.91308,0.000711687,0.000711687,0.000711687
89,10746.7,0.65827,1.06272,0.41975,0.99681,0.74341,0.74968,0.74949,0.44668,0.74118,0.74714,0.74478,0.39545,1.45761,2.53311,1.02919,1.89733,0.0007055,0.0007055,0.0007055
90,10858.8,0.67028,1.069,0.4282,1.00046,0.72473,0.75329,0.71266,0.40409,0.72476,0.75387,0.70558,0.39099,1.41453,2.4403,0.95925,1.81108,0.000699312,0.000699312,0.000699312
91,10971.3,0.6565,1.05907,0.42313,0.9858,0.71695,0.73848,0.73374,0.43818,0.7162,0.74515,0.73225,0.40795,1.48169,2.43261,0.93778,1.84504,0.000693125,0.000693125,0.000693125
92,11083.6,0.65955,1.05876,0.41708,0.99232,0.71526,0.76901,0.70165,0.41882,0.72413,0.73822,0.69159,0.39417,1.46326,2.42946,0.92894,1.84016,0.000686937,0.000686937,0.000686937
93,11195.8,0.65862,1.05491,0.4218,0.9903,0.70378,0.75646,0.7084,0.41489,0.70378,0.75646,0.70594,0.39923,1.48837,2.67316,0.98323,1.93369,0.00068075,0.00068075,0.00068075
94,11308.1,0.65845,1.04163,0.40099,0.99397,0.72684,0.72807,0.73675,0.44741,0.72504,0.72553,0.72355,0.4139,1.44835,2.57763,0.94206,1.85125,0.000674562,0.000674562,0.000674562
95,11420.5,0.64711,1.04149,0.42085,0.99513,0.72014,0.73672,0.72487,0.41856,0.70606,0.71455,0.70929,0.38529,1.44173,2.70251,0.98045,1.83079,0.000668375,0.000668375,0.000668375
96,11532.7,0.62587,1.03476,0.40799,0.9779,0.69106,0.75894,0.70762,0.41406,0.68185,0.75556,0.68982,0.39169,1.46944,2.56702,0.92353,1.93207,0.000662188,0.000662188,0.000662188
97,11644.9,0.61856,1.01266,0.40236,0.97625,0.7356,0.74685,0.73008,0.43981,0.73206,0.74347,0.72687,0.41934,1.44097,2.58252,0.87851,1.87033,0.000656,0.000656,0.000656
98,11757,0.62218,1.01526,0.40258,0.97558,0.71736,0.75292,0.6988,0.40959,0.71398,0.74954,0.69239,0.39126,1.3692,2.44962,0.94217,1.7555,0.000649813,0.000649813,0.000649813
99,11869.4,0.63767,1.03103,0.41955,0.97486,0.76504,0.7011,0.7342,0.43858,0.76125,0.69772,0.72882,0.40921,1.41424,2.45172,0.94231,1.79681,0.000643625,0.000643625,0.000643625
100,11981.7,0.61527,1.00785,0.39202,0.97473,0.76656,0.7215,0.71476,0.42093,0.76573,0.72526,0.71391,0.40733,1.47402,2.54743,0.97201,1.86862,0.000637437,0.000637437,0.000637437
101,12094.2,0.63322,1.00577,0.42503,0.97021,0.73652,0.72851,0.69521,0.41223,0.72134,0.71385,0.67952,0.39647,1.46961,2.68125,0.94006,1.92131,0.00063125,0.00063125,0.00063125
102,12206.4,0.60904,0.98603,0.39001,0.96828,0.71947,0.76073,0.72529,0.41719,0.70888,0.74996,0.70443,0.3954,1.43225,2.6648,0.96188,1.85959,0.000625062,0.000625062,0.000625062
103,12318.6,0.61465,0.97652,0.38708,0.96736,0.69498,0.75226,0.70087,0.42375,0.7293,0.70383,0.69447,0.39117,1.44523,2.63821,0.95695,1.86574,0.000618875,0.000618875,0.000618875
104,12430.9,0.6158,1.00118,0.39217,0.9624,0.69875,0.7519,0.70702,0.42244,0.69554,0.74852,0.69959,0.40051,1.4524,2.54196,0.95209,1.86175,0.000612687,0.000612687,0.000612687
105,12543.3,0.61322,1.00814,0.39696,0.9576,0.72427,0.73071,0.68959,0.40771,0.72529,0.7313,0.69342,0.39795,1.4001,2.57341,0.93752,1.85128,0.0006065,0.0006065,0.0006065
106,12655.5,0.58404,0.97507,0.37399,0.96072,0.71328,0.72687,0.70788,0.43054,0.71064,0.71687,0.71329,0.41489,1.50728,2.73308,0.97938,1.97521,0.000600313,0.000600313,0.000600313
107,12767.8,0.60002,0.99376,0.38551,0.96016,0.76263,0.72502,0.6916,0.41423,0.76263,0.72502,0.69434,0.3917,1.48714,2.77358,1.00335,2.00531,0.000594125,0.000594125,0.000594125
108,12879.9,0.58159,0.93908,0.36812,0.95337,0.70318,0.72901,0.70225,0.4337,0.6889,0.71429,0.69691,0.40856,1.49058,2.71468,1.04448,1.94869,0.000587938,0.000587938,0.000587938
109,12992,0.58843,0.95748,0.38096,0.95537,0.74382,0.72855,0.70183,0.41894,0.73118,0.71559,0.69243,0.39172,1.47403,2.68779,0.98295,1.90922,0.00058175,0.00058175,0.00058175
110,13104.1,0.59271,0.96211,0.37994,0.94641,0.69907,0.72438,0.69679,0.42788,0.69556,0.721,0.70003,0.40298,1.43145,2.80838,1.00569,1.9338,0.000575563,0.000575563,0.000575563
111,13216.5,0.57845,0.93832,0.37237,0.94354,0.72863,0.73686,0.72428,0.43183,0.72762,0.71305,0.70437,0.40617,1.50901,2.73595,1.09576,1.91697,0.000569375,0.000569375,0.000569375
112,13328.8,0.57476,0.93432,0.35652,0.9441,0.6826,0.73448,0.6974,0.43254,0.67921,0.73111,0.68891,0.39948,1.56401,2.80543,0.9903,2.11373,0.000563187,0.000563187,0.000563187
113,13441.1,0.57336,0.93959,0.36806,0.94019,0.74144,0.70581,0.71304,0.43355,0.73796,0.70243,0.70484,0.40224,1.46546,2.87063,1.05231,1.97667,0.000557,0.000557,0.000557
114,13553.3,0.57709,0.94442,0.36546,0.93965,0.73973,0.75079,0.71003,0.42196,0.73002,0.74009,0.71075,0.39769,1.46704,2.82515,1.04523,1.89244,0.000550813,0.000550813,0.000550813
115,13665.4,0.55577,0.91727,0.36349,0.93701,0.69938,0.75533,0.72037,0.42648,0.69029,0.7457,0.71256,0.39943,1.45877,2.80245,0.94401,1.94598,0.000544625,0.000544625,0.000544625
116,13777.6,0.56284,0.92566,0.35759,0.93949,0.73223,0.73625,0.71838,0.44727,0.72871,0.73287,0.72343,0.42356,1.43435,2.86801,0.92715,1.97207,0.000538438,0.000538438,0.000538438
117,13889.9,0.55169,0.89788,0.34634,0.93047,0.70838,0.72857,0.7068,0.43224,0.70494,0.72519,0.69249,0.40508,1.44238,2.76564,0.96467,1.93555,0.00053225,0.00053225,0.00053225
118,14002,0.55531,0.90962,0.35937,0.94154,0.68303,0.7792,0.70642,0.42283,0.70414,0.79047,0.7144,0.40286,1.44673,2.70763,0.94898,1.82616,0.000526063,0.000526063,0.000526063
119,14114.2,0.54507,0.88747,0.34786,0.93141,0.72223,0.72913,0.68902,0.4238,0.70946,0.71782,0.67353,0.39444,1.45187,2.71562,0.97127,1.93102,0.000519875,0.000519875,0.000519875
120,14226.4,0.55338,0.89851,0.35549,0.92945,0.72541,0.76545,0.70511,0.42601,0.74853,0.70331,0.67897,0.39319,1.45869,2.89404,1.05035,1.89834,0.000513688,0.000513688,0.000513688
121,14338.5,0.54838,0.88955,0.34698,0.9294,0.73062,0.74946,0.71609,0.42946,0.76206,0.70208,0.70788,0.40193,1.44577,2.78551,1.01842,1.92943,0.0005075,0.0005075,0.0005075
122,14450.7,0.53284,0.87852,0.33663,0.92558,0.70833,0.78768,0.72301,0.44132,0.68786,0.76495,0.69199,0.40662,1.45672,2.91601,0.9723,1.92057,0.000501313,0.000501313,0.000501313
123,14562.9,0.52996,0.88584,0.34553,0.92566,0.7606,0.72665,0.74168,0.45837,0.75708,0.72327,0.74229,0.42438,1.43245,2.78923,0.95014,1.9948,0.000495125,0.000495125,0.000495125
